unique_paragraph_id,article_id,paragraph_id,level,role,image_file,original_image_id,width,height,image_x,image_y,text
2_1_1_Ele,1,1,Ele,paragraph,images/2_1_1_Ele__paragraph.png,-3455019910319826519,1824,1254,358.0,184.0,"There are about 50,000 mystery shopping trips every month in the UK, according to the Mystery Shopping Providers Association. Mystery shoppers pretend to be a customer in a store but they are really collecting information on how good or bad its service is. The demand for mystery shoppers is growing because online shopping is becoming more popular. “Retailers are becoming increasingly aware that shoppers who visit a physical store want a service and an experience they can't get online,” says Simon Boydell, spokesman for Marketforce, which has more than 300,000 mystery shoppers. “Our clients want to know how well their stores are delivering on that experience.”"
2_1_1_Ele,1,1,Ele,question,images/2_1_1_Ele__question.png,-7093860468960081291,1824,228,358.0,184.0,Why do retailers hire the services of Marketforce?
2_1_1_Ele,1,1,Ele,answer_a,images/2_1_1_Ele__answer_a.png,-1805098591731242489,700,570,,,To collect information on the service quality of competing retailers
2_1_1_Ele,1,1,Ele,answer_b,images/2_1_1_Ele__answer_b.png,-2116535860671013095,700,570,,,To find new employees to hire
2_1_1_Ele,1,1,Ele,answer_c,images/2_1_1_Ele__answer_c.png,-6439628203704589290,700,570,,,To improve the quality of their online services
2_1_1_Ele,1,1,Ele,answer_d,images/2_1_1_Ele__answer_d.png,-6539037734098391572,700,570,,,To assess the shopping experience in their stores
2_1_2_Ele,1,2,Ele,paragraph,images/2_1_2_Ele__paragraph.png,-1618481537006738845,1824,1254,358.0,184.0,"“We assign different store locations to each shopper and rotate them so that they never go back to the same shop within three months,” says Jill Spencer of mystery shopping company ABa. “Each day, they spend up to eight hours visiting five to ten stores, plus another hour or two writing detailed reports on every part of their visit.” For that, the mystery shoppers can earn up to £155 a day. Their expenses are also paid. Mystery shoppers who film their visits with a hidden camera can earn even more – around £300 a day."
2_1_2_Ele,1,2,Ele,question,images/2_1_2_Ele__question.png,-1402093323948021823,1824,228,358.0,184.0,How many stores do mystery shoppers visit per day?
2_1_2_Ele,1,2,Ele,answer_a,images/2_1_2_Ele__answer_a.png,-6972548662227360455,700,570,,,Zero
2_1_2_Ele,1,2,Ele,answer_b,images/2_1_2_Ele__answer_b.png,-1676960910345917565,700,570,,,Five to ten
2_1_2_Ele,1,2,Ele,answer_c,images/2_1_2_Ele__answer_c.png,-2519503188313096077,700,570,,,Up to eight
2_1_2_Ele,1,2,Ele,answer_d,images/2_1_2_Ele__answer_d.png,-2924943645830738051,700,570,,,One to two
2_1_3_Adv,1,3,Adv,paragraph,images/2_1_3_Adv__paragraph.png,-4583116131049862689,1824,1254,358.0,184.0,"Shoppers are usually repaid any money they spend in the stores. “I'm typically given between £5 and £20 to spend at each store, to assess the service I receive at the counter,” says Laura, a 50-year-old mystery shopper from Devon, who has been paid to visit around 7,000 shops since 2001. The purchase usually has to be related to a service or a type of product that the retailer wants her to check. “I'm always given a scenario, such as buying something from a specific department or a new product range, but, within that framework, I can often buy whatever I want – and keep it.”"
2_1_3_Adv,1,3,Adv,question,images/2_1_3_Adv__question.png,4877516764535030669,1824,228,358.0,184.0,What items can Laura purchase at stores?
2_1_3_Adv,1,3,Adv,answer_a,images/2_1_3_Adv__answer_a.png,-2385693905257817196,700,570,,,"Any item she wants, as long as it costs between £5 and £20"
2_1_3_Adv,1,3,Adv,answer_b,images/2_1_3_Adv__answer_b.png,-1371784282876573055,700,570,,,Items that comply with the assigned department or item type
2_1_3_Adv,1,3,Adv,answer_c,images/2_1_3_Adv__answer_c.png,-5687733977654395386,700,570,,,Items that were not assigned to other mystery shoppers
2_1_3_Adv,1,3,Adv,answer_d,images/2_1_3_Adv__answer_d.png,-8071626317481302979,700,570,,,Any item she wants
2_1_4_Adv,1,4,Adv,paragraph,images/2_1_4_Adv__paragraph.png,-4073887195533573191,1824,1254,358.0,184.0,"Like most full-time mystery shoppers, Laura is self-employed, taking jobs from ABa and other mystery shopping companies as and when they come up. Her income is typically £30,000 to £40,000 a year and that doesn't include all the freebies she gets on the job. “With the perks, it's enough to live on. But I don't do it because I love shopping. In fact, I hate shopping now. When I'm not working, it pains me to have to go out and buy a pint of milk.” She does, however, find it satisfying to return to a store she has previously mystery shopped and see standards have improved. “I know it must be because of my feedback or why would they pay me to give it? Some of the retailers I shop at win awards for customer service and I think that is down to us mystery shoppers. I feel I'm not just doing a service to my company; I'm doing a service to all shoppers everywhere.”"
2_1_4_Adv,1,4,Adv,question,images/2_1_4_Adv__question.png,3132774681162736537,1824,228,358.0,184.0,What is Laura's opinion of her income from being a full-time mystery shopper?
2_1_4_Adv,1,4,Adv,answer_a,images/2_1_4_Adv__answer_a.png,-1436832496201258354,700,570,,,It's higher than most of her friends' incomes
2_1_4_Adv,1,4,Adv,answer_b,images/2_1_4_Adv__answer_b.png,-1257012812838902189,700,570,,,"It's not sufficient, as she is doing a service for all shoppers everywhere"
2_1_4_Adv,1,4,Adv,answer_c,images/2_1_4_Adv__answer_c.png,2389607375437687724,700,570,,,"It's sufficient, though she would prefer receiving £30,000 to £40,000 a year"
2_1_4_Adv,1,4,Adv,answer_d,images/2_1_4_Adv__answer_d.png,-3532089401065179511,700,570,,,"It's sufficient, given the perks"
